ええじゃないか舞踊三昧 競舞部門・演舞部門,松葉公園・広小路通りほか,0,34.765812,137.385625,見る,ええじゃないか舞踊三昧で今日を思いっきり楽しんで明日につなげていこう！,2019-10-19 10:45:00,2019-10-19 17:00:00,https://toyohashimatsuri.jp/images/butou/butou.jpg
マスコットキャラクターと踊ろうこども総おどり,広小路通り（三丁目）,0,34.764788,137.388643,見る,"マスコットキャラクターと踊ろう
こども総おどり参加団体　50音順
- 牛川パイレーツ
- うちゅうりぼんサークル
- オールベリーズ
- 元気ッズ 公立保育園・こども園
- こども未来館ここにこ
- つつじフォックス
- DWEとよはし踊り隊
- 豊橋市健民少年団
- にじいろ
- はだしっこ
- ブルアミーケ
- ゆめの子 幼稚園 年長ゆめキッズ
- 豊橋まつりクイーン",2019-10-19 15:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/images/souodori/kodomoodori.jpg
東京2020オリンピック・パラリンピック競技体験イベント,こども未来館ここにこ,0,34.768169,137.383284,見る,東京2020大会の競技を体験しよう！,2019-10-19 9:30:00,2019-10-19 17:00:00,https://toyohashimatsuri.jp/images/top/pickup1png.png
総おどり,駅前大通り・広小路通り・萱町通り,0,34.764788,137.388643,見る,2万人が魅せる息の合った総おどりは必見！,2019-10-19 18:30:00,2019-10-19 20:00:00,https://toyohashimatsuri.jp/images/souodori/souodori.jpg
まち歩きええじゃないかスタンプラリー,まちなかエリア一帯,0,34.767173,137.385395,体験,スタンプ集めてええじゃないか！景品貰えてええじゃないか！,2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/images/machijyu/machiaruki.jpg
「お祭り顔」でええじゃないか木札ゲット！！,まちなかエリア一帯,0,34.767173,137.385395,体験,"「お祭り顔」をして木札がもらえてええじゃないか！

街中のどこかにいる「ええじゃないか行脚隊」に 「お祭り顔」で「ええじゃないか！！」と言ってみよう。 豊橋まつり限定の木札がもらえるよ。 「ふるまいMAP」のイラスト周辺に “ええじゃないか行脚隊” がいるから 探してみよう！",2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/images/machijyu/kifuda.jpg
呼び込み太鼓・オープニング 60,豊橋球場内特設ステージ,0,34.770091,137.397156,見る,"藤ノ花女子高等学校マーチングバンド部RED PEPPERSによる演奏
ええじゃないか宣言
オープニングセレモニー
ええじゃないか豊橋伝播隊 DOEEによる新曲披露
豊橋まつりクイーンによるダンス初披露
桜丘高等学校ダンス部MASTERPIECEによるダンス披露",2019-10-19 8:15:00,2019-10-19 11:30:00,https://toyohashimatsuri.jp/images/stage/openning.png
BMKミニライプ,豊橋球場内特設ステージ,0,34.770091,137.397156,見る,"BMKは、名古屋を拠点に活動する日本の男性エンターティメント集団
BOYS AND MENの弟分グループ。現在、ティーズ制作の「BMKがゆく！放課後学ラン苦楽部」で活躍中。",2019-10-19 11:30:00,2019-10-19 12:00:00,https://toyohashimatsuri.jp/images/stage/boys.png
ええじゃないか！とよフェス2019,豊橋球場内特設ステージ,0,34.770091,137.397156,見る,ええじゃないか！とよフェス2019,2019-10-19 13:00:00,2019-10-19 18:00:00,https://toyohashimatsuri.jp/images/stage/stage_02_1.png
NTP名古屋トヨペット車両展示イベント※,豊橋球場内,0,34.769488,137.396608,見る,人に「素敵」をお届けする名古屋トヨペットのブースに、人気のクルマが集合！お気軽にこ黄ください。※展示車・ポディカラーが写真と異なる場合があります。,2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d9168e04fbdc.jpg
肉フェス※,豊橋球場内,0,34.769174,137.397033,体験,お肉を使った料理が楽しめます♪,2019-10-19 9:00:00,2019-10-19 18:30:00,https://toyohashimatsuri.jp/uploadimg/t_5d943a9a6940a.png
観光物産博覧会※,豊橋球場周辺・芝生ひろば周辺,0,34.770175,137.395728,体験,"豊橋をはじめとする東三河や周辺各地の名産品やグルメが大集合！

食べて、遊んで、買って、お腹も心もいっぱいになること間違いなし。お買い得な品を手に入れよう。",2019-10-19 9:30:00,2019-10-19 17:30:00,https://toyohashimatsuri.jp/images/hakurankai/kouenmap.png
農産物博覧会※,豊橋球場周辺・芝生ひろば周辺,0,34.771087,137.397397,見る,"豊橋をはじめとする東三河や周辺各地の名産品やグルメが大集合！
食べて、遊んで、買って、お腹も心もいっぱいになること間違いなし。お買い得な品を手に入れよう。",2019-10-19 9:30:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/images/hakurankai/kouenmap.png
ちびっこ木工工作広場※,芝生ひろば,0,34.770448,137.396146,体験,子どもたちを対象に木材を使って自由に工作ができます。,2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915329752e5.jpg
凧作り教室※,芝生ひろば,400,34.77069,137.396366,体験,"子ども用の小凧を、保存会会員の指導で作ります。また、完成後は凧の揚げ方の指導も行います。
◎材料費/400円",2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915354e9161.jpg
あそびの広場※,芝生ひろば,0,34.770408,137.395905,広場,_,2019-10-19 10:00:00,2019-10-19 15:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915c3f9b892.jpg
自衛隊ふれあい広場※,芝生ひろば東側,0,34.770902,137.396978,広場,"●バネル展示
●募集広報
●自衛隊塗り絵
●自衛隊憩いの広場",2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d9158044fbbe.jpg
吉田城 金色の御城印販売※,美術博物館,300,34.769281,137.39478,購入,豊橋まつりの2日間限定で、金文字の御城印を販売します。（限定500枚）◎1枚/300円,2019-10-19 9:00:00,2019-10-19 17:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915b6495678.jpg
わくわく縄文＆弥生体験※,美術博物館前,500,34.769096,137.395067,体験,"豊橋まつりで古代体験。
勾玉やミニ土偶を作ることができます。（随時受付）
◎材料費/500円",2019-10-19 9:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d91589ec9142.jpg
